#
# $ make update_params
# copying: public domain
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|くすりが|きく| |薬が|効く|
|くだらない|しつもんです| |くだらない|質問です|
|くだらない|しつもんばかりで|つらかった| |下らない|質問ばかりで|辛かった|
|くちの|なかに|ひろがる|ひかえめな|うまみ| |口の|中に|広がる|控えめな|旨味|
|くべつを|したいなら| |区別を|したいなら|
|くみかえ|はっせいの|かくりつ| |組み換え|発生の|確率|
|くらくなったから|でかけようかな| |暗くなったから|出かけようかな|
|くらしっくを|きく| |クラシックを|聞く|
|くるんだから|むりするな| |来るんだから|無理するな|
|くわしくは|おといあわせ|ください| |詳しくは|お問い合わせ|ください|
|くんれんしだいでは|こんなことも|できるようになる| |訓練次第では|こんなことも|できるようになる|
|けいえいしゃも|いっぱん|しゃいんと|おなじく|せきにんを|とらされない| |経営者も|一般|社員と|同じく|責任を|取らされない|
|けいさん| |計算|
|けいさんする| |計算する|
|けいさんできないような|きがする| |計算できないような|気がする|
|けいさんを|てぬきしたから|しゅうそくしなかったんですよね| |計算を|手抜きしたから|収束しなかったんですよね|
|けいたいでんわが|きょういてきな|いきおいで|ふきゅうしています| |携帯電話が|驚異的な|勢いで|普及しています|
|けいやくしょに|きさいされた|じゅうようじこうの|せつめいを|うける| |契約書に|記載された|重要事項の|説明を|受ける|
|けいようしの|おおい|れいぶんを|あつめる| |形容詞の|多い|例文を|集める|
|けさは|よく|ひえた| |今朝は|良く|冷えた|
|けしたら|さっぷうけいになった| |消したら|殺風景になった|
|けっかから|てきすとけいしきで|けいけんてき|かくりつの|ひょうを|つくる| |結果から|テキスト形式で|経験的|確率の|表を|作る|
|けっかが|あっていれば|かていは|きにしない| |結果が|あっていれば|過程は|気にしない|
|けっかよりも|しゅだんを|ひょうかしてほしい|ところ| |結果よりも|手段を|評価してほしい|ところ|
|けっきょく|、|こんかいは|あきらめて|べつの|ほうほうを|つかいました| |結局|、|今回は|諦めて|別の|方法を|使いました|
|けっきょく|かれいがいは|いかなさそうですね| |結局|彼以外は|行かなさそうですね|
|けっきょく|こないらしい| |結局|来ないらしい|
|けっきょく|それは|いっしんじょうの|つごうということにしてください| |結局|それは|一身上の|都合ということにしてください|
|けっきょく|どれに|でるのでしょうか|？| |結局|どれに|出るのでしょうか|?|
|けっこう|そくど|ていかが|はっせいしそうに|おもう| |結構|速度|低下が|発生しそうに|思う|
|けっさくだし|、|５０ねんごにも|のこってそうだが| |傑作だし|、|５０年後にも|残ってそうだが|
|けっして|そんなことは|ないと|おもいます| |決して|そんなことは|無いと|思います|
|けはいも|まったくねえ| |気配も|全くねえ|
|けんきゅうしつで|はないさんが| |研究室で|花井さんが|
|けんげんを|てにいれる| |権限を|手に入れる|
|けんこうの|ために|となりの|えきから|いえまで|あるいた| |健康の|ために|隣の|駅から|家まで|歩いた|
|けんりょくを|こうしするには|それなりの|ぜんていが|ひつよう| |権力を|行使するには|それなりの|前提が|必要|
|げーむが|しゅうりょうすると|とくてんが|２しんすうで|ひょうじされる| |ゲームが|終了すると|得点が|2進数で|表示される|
|げーむとしても|おもしろい| |ゲームとしても|面白い|
|げきちゅう|いんしょうてきだったのは| |劇中|印象的だったのは|
|げすと|よんでるのに|こないな| |ゲスト|呼んでるのに|来ないな|
|げつようから|かいているのだが| |月曜から|書いているのだが|
|げつようびだから|きげん|わるいのです| |月曜日だから|機嫌|悪いのです|
|げんいんでは|ありえない| |原因では|ありえない|
|げんきょくの|いめーじのまま|くぉりてぃが|たかいですね| |原曲の|イメージのまま|クォリティが|高いですね|
|げんこうの|しっぴつが|ぜんぜん|すすまなくて|つらい|おもいを|する| |原稿の|執筆が|全然|進まなくて|辛い|思いを|する|
|げんこうの|しっぴつを|おこなう| |原稿の|執筆を|行う|
|げんこうの|もでるで|がまんします| |現行の|モデルで|我慢します|
|げんご|きりかえ|めにゅーが|ちゅうとはんぱに|ほんやくされているのは|なぜだろう| |言語|切り替え|メニューが|中途半端に|翻訳されているのは|なぜだろう|
|げんさくと|でざいんの|ふんいきが|ちがいすぎて|よく|わからない| |原作と|デザインの|雰囲気が|違いすぎて|よく|分からない|
|げんざいの|かだいと|こんごの|よてい| |現在の|課題と|今後の|予定|
|げんじつ|もんだいとして|だれも|つかってない| |現実|問題として|誰も|使ってない|
|げんちで|はらえる|ほうが|てまが|すくない|きがする| |現地で|払える|方が|手間が|少ない|気がする|
|こーぱす|ふぁいる|ちゅう| |コーパス|ファイル|中|
|こーぱすの|こうちく|および|あくせすを|おこなう| |コーパスの|構築|及び|アクセスを|行う|
|こーぱすの|りょうを|もっと|ふやしていきたい| |コーパスの|量を|もっと|増やしていきたい|
|こい|おちゃが|なぜか|はやりだ| |濃い|お茶が|何故か|流行だ|
|こいを|すると|ものの|みかたが|かわる| |恋を|すると|物の|見方が|変わる|
|こう|かいていた| |こう|書いていた|
|こう|かんがえれば|いい| |こう|考えれば|良い|
|こういうのを|きゅうしょくの|じかんに|ながしたら|おもしろそうだ| |こういうのを|給食の|時間に|流したら|面白そうだ|
|こうか| |効果|
|こうかが|おもしろすぎる| |校歌が|面白すぎる|
|こうかんする|こんでんさを|まちがえたのです| |交換する|コンデンサを|間違えたのです|
|こうきゅう|しこう| |高級|志向|
|こうきょうりょうきんなどの|おしはらいで|ぽいんとが|たまる| |公共料金などの|お支払いで|ポイントが|溜まる|
|こうご|ひょうげんに|よわい|きがする| |口語|表現に|弱い|気がする|
|こうさいが|くろっぽい|ねこも|いるのね| |虹彩が|黒っぽい|猫も|いるのね|
|こうじゅつするような|かくりつてき|げんご|もでるが|はったつするまで| |後述するような|確率的|言語|モデルが|発達するまで|
|こうじょうの|せつびとうしが|かさんで|しきんなんに|おちいった| |工場の|設備投資が|かさんで|資金難に|陥った|
|こうせいには|へんこう|ないとのことです| |構成には|変更|無いとのことです|
|こうほの|へんこうが|あった|ばあい| |候補の|変更が|あった|場合|
|こうほの|わりあて|ようも|ふくむ| |候補の|割り当て|用も|含む|
|こうほを|せんたくする| |候補を|選択する|
|こきゃくの|さぽーとには|てまが|かかる| |顧客の|サポートには|手間が|かかる|
|ここ|さいきん|、|たんきかんに|２かい|めにすることが|あったので|あえて|かきます| |ここ|最近|、|短期間に|2回|目にすることが|あったので|あえて|書きます|
|ここで|やることに|いみが|ある| |ここで|やることに|意味が|ある|
|ここには|さんにんしか|いない| |ここには|三人しか|いない|
|ここの|げんしの|しゅるいを|しきべつ| |個々の|原子の|種類を|識別|
|ここは|むせんらんが|りようかのうです| |ここは|無線LANが|利用可能です|
|こじつけな|めいめいを|する| |こじつけな|命名を|する|
|こじん|じしょからの|しゅとく| |個人|辞書からの|取得|
|こたえを|けいさんする| |答えを|計算する|
|こっちは|よせん|いちい|つうかでした| |こっちは|予選|一位|通過でした|
|ことしも|よい|いちねんに|なりますように| |今年も|良い|一年に|なりますように|
|ことなる|かんきょう|かんに|おける|あんぜんな|つうしんろの|こうちく| |異なる|環境|間に|おける|安全な|通信路の|構築|
|こねこと|よばれた| |仔猫と|呼ばれた|
|この|がくねんでは|いちばん|ゆうしゅうじゃないかな| |この|学年では|一番|優秀じゃないかな|
|この|きかいを|みのがさないでください| |この|機会を|見逃さないでください|
|この|きのう|しってますか| |この|機能|知ってますか|
|この|けいしきに|じしょを|いれるという|あいであは|ずっと|あるのですが| |この|形式に|辞書を|入れるという|アイデアは|ずっと|あるのですが|
|この|こまんどは|ふたつの|きのうを|もっている| |この|コマンドは|二つの|機能を|持っている|
|この|じっけん|じたいが|じょうだんではないですか| |この|実験|自体が|冗談ではないですか|
|この|すきに|でかける| |この|隙に|出かける|
|この|せいやくは|つぎの|ばーじょんでは|とりのぞかれる|よていです| |この|制約は|次の|バージョンでは|取り除かれる|予定です|
|この|せかいかんでは|むしろ|ごうりてきな|かいしゃく| |この|世界観では|むしろ|合理的な|解釈|
|この|ちょうしだと|そのまま|ぶたになる| |この|調子だと|そのまま|豚になる|
|この|はがきは|さいせいしです| |この|葉書は|再製紙です|
|この|はしを|わたると| |この|橋を|渡ると|
|この|ふぁいるを|せいけいして| |この|ファイルを|整形して|
|この|ぺーじは|いつごろから|こうしんされてたんだろう| |この|ページは|いつ頃から|更新されてたんだろう|
|この|ほうほうは|やめて| |この|方法は|やめて|
|この|りゆうにより|まちがっています| |この|理由により|間違っています|
|このあいだの|ことは|なにも|なかったことにしましょう| |この間の|事は|何も|なかったことにしましょう|
|このあたりの|こっきょうは|しんにゅうが|おおい| |この辺の|国境は|侵入が|多い|
|このけんで|しょっく|うけて|きれてる|やつの|めんたりてぃが|わからん| |この件で|ショック|受けて|切れてる|奴の|メンタリティが|分からん|
|このこ|かみのけ|おおいなというような|かんそうしか|もたない| |この子|髪の毛|多いなというような|感想しか|持たない|
|このさき|いきのこれるか| |この先|生き残れるか|
|このたびの|ほうかいせいに|ともない| |この度の|法改正に|伴い|
|このはなしは|、|これで|おしまい|。| |この話は|,|これで|おしまい|。|
|このひと|きょねんも|おうぼしてませんでしたっけ|？| |この人|去年も|応募してませんでしたっけ|?|
|このまま|いきます| |このまま|いきます|
|こみっくが|でたらしいので|かいに|いこうと|おもう| |コミックが|出たらしいので|買いに|行こうと|思う|
|こようを|そくしんする| |雇用を|促進する|
|こりゃ|むりだ| |こりゃ|無理だ|
|これいじょうの|ねたばれは|ほかの|ひとに|わるいな| |これ以上の|ネタバレは|他の|人に|悪いな|
|これぐらいで|おどろいていては|だめです| |これぐらいで|驚いていては|ダメです|
|これで|あんしんして|げーむが|できる| |これで|安心して|ゲームが|できる|
|これで|いいのか|しらんけどな| |これで|良いのか|知らんけどな|
|これで|いいのか|どうか|しりませんが| |これで|良いのか|どうか|知りませんが|
|これに|ついては|ここの|じょうきょうに|いぞんするので|だんていは|できません| |これに|ついては|個々の|状況に|依存するので|断定は|できません|
|これにより|まきかえしを|はかることが|できるでしょうか| |これにより|巻き返しを|図ることが|出来るでしょうか|
|これは|しょうしょう|めんどくさすぎる| |これは|少々|面倒くさすぎる|
|これは|だっしゅつを|めざすしかない| |これは|脱出を|目指すしかない|
|これは|ばぐだと|はんだんして|よろしいでしょうか|？| |これは|バグだと|判断して|よろしいでしょうか|?|
|これを|うれば|あと|２にちは|めしを|くえる| |これを|売れば|後|2日は|飯を|食える|
|ころせば| |殺せば|
|こんかいの|れいを|しようすれば|できるのではないかと|おもいます| |今回の|例を|使用すれば|できるのではないかと|思います|
|こんかいは|かわを|あつめ| |今回は|皮を|厚め|
|こんかいは|けっこう|りょうが|おおいので|あらうのが|たいへんだった| |今回は|結構|量が|多いので|洗うのが|大変だった|
|こんごは|こうにゅうせず| |今後は|購入せず|
|こんしゅうは|ろんぶんの|しめきりが|あって|かなり|しんどい| |今週は|論文の|締切が|あって|かなり|しんどい|
|こんせぷとは|ちがうけど| |コンセプトは|違うけど|
|こんな|じかんに|あらわれて|どうする|つもりだ| |こんな|時間に|現れて|どうする|つもりだ|
|こんな|じかんに|しんぶん|はいたつに|くるのですか| |こんな|時間に|新聞|配達に|来るのですか|
|こんなことも|あるかと|おもって|よういしていました| |こんなことも|あるかと|思って|用意していました|
|こんなに|かわいいのに|おとこのこの|はずが|ない| |こんなに|可愛いのに|男の子の|はずが|無い|
|こんなの|ぬげば|いい| |こんなの|脱げば|良い|
|こんなん|みちばたに|おいてたら|ばればれだろう| |こんなん|道端に|置いてたら|バレバレだろう|
|こんねんどの|けっさんを|よく|みせることが|もくてきのようです| |今年度の|決算を|良く|見せることが|目的のようです|
|こんぱいらを|つくろうと|おもう| |コンパイラを|作ろうと|思う|
|こんびにごとに|ちがう| |コンビニごとに|違う|
|ごかんせいを|かんがえないで|こーどを|かく| |互換性を|考えないで|コードを|書く|
|ごく|いちぶの|さいと| |ごく|一部の|サイト|
|ごさんばかりで|うまくいかない| |誤算ばかりで|うまくいかない|
|ごぜんちゅうには|ぷれすりりーすが|でていたのですが|、|いつのまにか|きえていました| |午前中には|プレスリリースが|出ていたのですが|,|いつの間にか|消えていました|
|ごはん|おごって| |ご飯|おごって|
|ごはんを|たべずに|がいしゅつ| |ご飯を|食べずに|外出|
|ごへんかんから|じどうてきに|そせいを|ちゅうしゅつするような|しゅほうが|つかえそう| |誤変換から|自動的に|素性を|抽出するような|手法が|使えそう|
|ごへんかんに|からんだ|かいすうが|いってい|かいすうを|こえると| |誤変換に|からんだ|回数が|一定|回数を|越えると|
|ごへんかんの|ぶんだけを|つぎの|がくしゅうの|にゅうりょく|とする| |誤変換の|文だけを|次の|学習の|入力|とする|
|ごみは|とうじつの|あさまでに|だしましょう| |ゴミは|当日の|朝までに|出しましょう|
|さいきん|おもに|なにを|たべてた| |最近|主に|何を|食べてた|
|さいきん|きゅうに|あつくなった| |最近|急に|暑くなった|
|さいきん|こーひー|ぎゅうにゅうばかり|のんでる| |最近|コーヒー|牛乳ばかり|飲んでる|
|さいきん|このてのが|ふえてきましたね| |最近|この手のが|増えてきましたね|
|さいきん|そとに|いることが|おおいので|ぜんぜん|よめてないですが| |最近|外に|いることが|多いので|全然|読めてないですが|
|さいきん|でんぱに|みがきが|かかってますね| |最近|電波に|磨きが|かかってますね|
|さいきん|めーるを|だせない|かんきょうに|います| |最近|メールを|出せない|環境に|います|
|さいきん|らう゛くらふと|ぜんしゅうを|あつめている| |最近|ラヴクラフト|全集を|集めている|
|さいげん|てじゅんを|ちょうさします| |再現|手順を|調査します|
|さいごに|へやを|でる|ときは|でんきを|けしてください| |最後に|部屋を|出る|時は|電気を|消してください|
|さいごのが|おもろい| |最後のが|おもろい|
|さいごまで|いきそうだけど| |最後まで|行きそうだけど|
|さいごまで|みてたら|とんでもない|じかんになる| |最後まで|見てたら|とんでもない|時間になる|
|さいしょ|５ふんぐらい|みてたけど|ねてしまった| |最初|5分ぐらい|見てたけど|寝てしまった|
|さいしょから|かくほする|き|なし| |最初から|確保する|気|無し|
|さいしょから|まにゅあるを|よめば|よかった| |最初から|マニュアルを|読めば|良かった|
|さいしょから|わかっている|ことだった| |最初から|分かっている|事だった|
|さいしょに|うごいたのは|８がつ|げじゅんでしたねえ| |最初に|動いたのは|8月|下旬でしたねえ|
|さいしょの|さかなではない| |最初の|魚ではない|
|さいせい|しえん| |再生|支援|
|さいせいの|とちゅうで|なぜか|あぷりが|おちる| |再生の|途中で|何故か|アプリが|落ちる|
|さいだいちを|もとめる|ところで|いっぱい|つかってるような|きがします| |最大値を|求める|所で|いっぱい|使ってるような|気がします|
|さいていげんの|こみっとめんとを|して|しごとを|するのは|とうぜんだろう| |最低限の|コミットメントを|して|仕事を|するのは|当然だろう|
|さがしてみると|いろいろ|でてきました| |探してみると|いろいろ|出てきました|
|さきに|いきなさい| |先に|行きなさい|
|さきに|くる| |先に|来る|
|さきは|ながそうだというのを|りかいした| |先は|長そうだというのを|理解した|
|さきほど|ちゅうもんさせていただきました| |先ほど|注文させていただきました|
|さきを|いそごう| |先を|急ごう|
|さくが|ないこともない| |策が|無いこともない|
|さくねんに|つづき|ことしも|おなじような|せいさく| |昨年に|続き|今年も|同じような|政策|
|さけの|のみすぎで|いが|いたい| |酒の|飲みすぎで|胃が|痛い|
|さけのみの|くせに|けんこうだ| |酒飲みの|くせに|健康だ|
|さすがに|ごつごうしゅぎという|きがする| |さすがに|ご都合主義という|気がする|
|さすがに|しんじんでもなければ|こんなことしない| |さすがに|新人でもなければ|こんなことしない|
|さすがに|へんかんに|３ふん|かかるのは|なんとか|ならないかな| |さすがに|変換に|3分|かかるのは|何とか|ならないかな|
|さぞ|うつくしかろう| |さぞ|美しかろう|
|さっきのも|がっこうだったのか| |さっきのも|学校だったのか|
|さっそくだが|しごとを|いらいしたい| |さっそくだが|仕事を|依頼したい|
|さて|げーむの|つづきを|やります| |さて|ゲームの|続きを|やります|
|さまざまな|からみあった|もんだいを|かいけつして|いかないと|いけません| |様々な|絡み合った|問題を|解決して|いかないと|いけません|
|さゆうとも|うまく|いけば|いいのですが| |左右とも|うまく|いけば|いいのですが|
|さりげなく|たぐづけの|きのうが|ついかされている| |さりげなく|タグ付けの|機能が|追加されている|
|さんかしたけど|まじで|てが|こおります| |参加したけど|マジで|手が|凍ります|
|さんかできるか|でんわで|きいてみた| |参加できるか|電話で|聞いてみた|
|さんこうまでに|おつかいの|かーどの|なまえを|おしえてください| |参考までに|お使いの|カードの|名前を|教えてください|
|さんしょう|わたしを|つかうと|いろいろ|ややこしい|もんだいが|おきる| |参照|渡しを|使うと|いろいろ|ややこしい|問題が|起きる|
|さんすうの|じかんに|なにやったかも|おぼえてない| |算数の|時間に|何やったかも|覚えてない|
|さんだんとびって|あるていど|とばないと|きろく|なしになる| |三段跳って|ある程度|飛ばないと|記録|無しになる|
|ざいりょうが|まったく|ないため|うれたんで|だいようした| |材料が|全く|無いため|ウレタンで|代用した|
|ざっしに|れんさいされていた| |雑誌に|連載されていた|
|ざっしは|よまない|ひとだったっけ|？| |雑誌は|読まない|人だったっけ|?|
|ざったな|こーぱす| |雑多な|コーパス|
|ざぶとんに|ねを|はやしたような|かんじ| |座布団に|根を|生やしたような|感じ|
|ざんぎょう|きせいも|かいじょされたようなので| |残業|規制も|解除されたようなので|
|ざんねんながら|じしょには|くべつは|ないんですよね| |残念ながら|辞書には|区別は|無いんですよね|
|しかし|かれは|おくさずに| |しかし|彼は|臆さずに|
|しかし|こすとを|あまり|いしきしていないためか| |しかし|コストを|あまり|意識していないためか|
|しかたがないので|ぐりーんしゃに|のりました| |仕方がないので|グリーン車に|乗りました|
|しかも|なぜか|でんげん|こーどが|はいってない| |しかも|何故か|電源|コードが|入ってない|
|しこうていし| |思考停止|
|しごとが|できるのは| |仕事が|できるのは|
|しごとでは|つかえない| |仕事では|使えない|
|しごとには|つかえない| |仕事には|使えない|
|しごとの|こと| |仕事の|事|
|しごとや|かていとの|りょうりつが|こんなんでした| |仕事や|家庭との|両立が|困難でした|
|しったかは|よくないですね| |知ったかは|良くないですね|
|しっぽが|みじかいんだ| |尻尾が|短いんだ|
|しつれいながら|もくてきを|おたずねして|よろしいでしょうか|？| |失礼ながら|目的を|お尋ねして|よろしいでしょうか|?|
|しばらく|みない|あいだに|ひどいことに|なっている| |しばらく|見ない|間に|ひどいことに|なっている|
|しぼうの|きゅうしゅうを|おさえる|せいぶんが|はいっているらしい| |脂肪の|吸収を|抑える|成分が|入っているらしい|
|しぼりこもうと|おもって|ごを|ふやしたら|かえって|けんすうが|ふえた| |絞り込もうと|思って|語を|増やしたら|却って|件数が|増えた|
|しゃないの|おかねの|かしかりは|げんきんです| |社内の|お金の|貸し借りは|厳禁です|
|しゅうたんへの|せんい| |終端への|遷移|
|しゅうでん|まえに|かえってこれた| |終電|前に|帰ってこれた|
|しゅうふく|ごも|なぜか|どうがくの|よさんが|でている| |修復|後も|何故か|同額の|予算が|出ている|
|しゅうへんの|じょうほうを|しゅとくする| |周辺の|情報を|取得する|
|しゅせんりつだと|ちぇろじゃないかな| |主旋律だと|チェロじゃないかな|
|しゅっきんしたときの|きおんが|きもちよかった| |出勤したときの|気温が|気持ちよかった|
|しゅっきんの|たびに|きが|おもい| |出勤の|度に|気が|重い|
|しゅつりょく|じの|ふぁいるの|あつかい| |出力|時の|ファイルの|扱い|
|しょうかいが|おそくなりましたが|、|かなり|いぜんから|こうかいされています| |紹介が|遅くなりましたが|、|かなり|以前から|公開されています|
|しょうさんに|たる|ものが|あると|おもう| |賞賛に|足る|物が|あると|思う|
|しょうじきな|ところ|まいにち|やる|ほど|おもしろいことでもない| |正直な|ところ|毎日|やる|ほど|面白いことでもない|
|しょうぶすべき|ところで|しょうぶする| |勝負すべき|所で|勝負する|
|しょうみきげんが|みじかめに|せっていしてある| |賞味期限が|短めに|設定してある|
|しょうめんから|きょうそうしようとするのは|あやまりだ| |正面から|競争しようとするのは|誤りだ|
|しょうようだと|もっと|おおいように|かんじます| |商用だと|もっと|多いように|感じます|
|しょかいとくてんとか|いわれると|ふつうのを|かう|きが|なくなる| |初回特典とか|言われると|普通のを|買う|気が|なくなる|
|しょたって|いうから|しょうたの|すしを|おもいだしてしまった| |ショタって|言うから|将太の|寿司を|思い出してしまった|
|しようする| |使用する|
|しを|おもえ| |死を|思え|
|しを|おもえという|ことばが|あります| |死を|思えという|言葉が|あります|
|しんかんせんで|よもうと|おもっていた|しりょうは|よまれない| |新幹線で|読もうと|思っていた|資料は|読まれない|
|しんけんに|かんがえるべきだと|おもいます| |真剣に|考えるべきだと|思います|
|しんこくな|ちきゅう|おんだんか| |深刻な|地球|温暖化|
|しんこくに|かんがえこむ|はなしでは|ない| |深刻に|考え込む|話では|無い|
|しんさく|げーむの|がぞう| |新作|ゲームの|画像|
|しんじん|きょういくが|できてない| |新人|教育が|できてない|
|しんじんを|かくとくできない|ぶんやになってしまうと|おもいます| |新人を|獲得できない|分野になってしまうと|思います|
|しんちゃくの|めっせーじが|たいりょうに|あった| |新着の|メッセージが|大量に|あった|
|しんぷるで|うつくしく|せんれんされた|もの| |シンプルで|美しく|洗練された|物|
|しんようできる|にゅうりょくには|ふかい|きゃりぶれーしょんを|かけられる| |信用できる|入力には|深い|キャリブレーションを|かけられる|
|しんらいせいの|ぎろんは|ゆーざの|してんで|しないと|いみが|ない| |信頼性の|議論は|ユーザの|視点で|しないと|意味が|無い|
|じかん|どおりに|しあげていた| |時間|通りに|仕上げていた|
|じかん|どおりに|むかえにいけると|おもう| |時間|通りに|迎えにいけると|思う|
|じかんが|ない| |時間が|無い|
|じかんの|あるときで|かまいませんので| |時間の|ある時で|構いませんので|
|じかんは|おもったよりも|みじかい| |時間は|思ったよりも|短い|
|じかんを|えらんで|きんむ| |時間を|選んで|勤務|
|じかんを|とめたりする| |時間を|止めたりする|
|じかんを|はかれば|ぼとるねっくは|みつかりますね| |時間を|計れば|ボトルネックは|見つかりますね|
|じけん|ごの|たいおうを|あやまっていると|おもわれます| |事件|後の|対応を|誤っていると|思われます|
|じさの|せいで|ねむい| |時差の|せいで|眠い|
|じしょ|づくりは|じみな|しごと| |辞書|作りは|地味な|仕事|
|じしょからの|わりあてを|やっていない| |辞書からの|割り当てを|やっていない|
|じしょを|わけないといけない|ほど|いっぱい|ありますかね| |辞書を|分けないといけない|程|いっぱい|ありますかね|
|じしんが|ない| |自信が|無い|
|じしんまんまんに|やすうけあいすると|あとで|ひじょうに|こまったことになる| |自信満々に|安請け合いすると|後で|非常に|困ったことになる|
|じだいも|かわりましたね| |時代も|変わりましたね|
|じっかに|かえったら|くさむしりを|しないといけない| |実家に|帰ったら|草むしりを|しないといけない|
|じっかの|じゅうしょに|そんなもの|おくられても|こまる| |実家の|住所に|そんなもの|送られても|困る|
|じっかの|ねこの|しっぽは|みじかかったです| |実家の|猫の|尻尾は|短かったです|
|じっかへの|いどう| |実家への|移動|
|じっかを|あとにして|きたない|わがやに|むかった| |実家を|後にして|汚い|我が家に|向かった|
|じっさいに|もくげきするまで|うたがう|ようそは|なかった|わけです| |実際に|目撃するまで|疑う|要素は|無かった|わけです|
|じっさいは|きわめて|れいせいだったようです| |実際は|極めて|冷静だったようです|
|じっそう| |実装|
|じっそうされた|きのうを|てっていてきに|かつようする| |実装された|機能を|徹底的に|活用する|
|じっそうされて|いこう| |実装されて|以降|
|じっそうは|ふくざつですが| |実装は|複雑ですが|
|じどうてきに|しょりする|しくみは|まだ|じつげんされてなかったんでしたっけ| |自動的に|処理する|仕組みは|まだ|実現されてなかったんでしたっけ|
|じぶんで|こんぱいるしておいた|ほうが|いろいろと|ゆうずうが|ききます| |自分で|コンパイルしておいた|方が|いろいろと|融通が|効きます|
|じぶんで|みつけなくては|いみが|ない| |自分で|見つけなくては|意味が|無い|
|じぶんの|くにの|じじょうでさえ|よく|わかってない| |自分の|国の|事情でさえ|良く|分かってない|
|じぶんの|ことは|べつとして|つぎの|ばーじょんは|だれが|つくるんでしょうかね| |自分の|事は|別として|次の|バージョンは|誰が|作るんでしょうかね|
|じぶんの|てで|けいけんしたいと|つよく|ねがいながらも| |自分の|手で|経験したいと|強く|願いながらも|
|じぶんの|もともとの|よていとして|、|にほんごにゅうりょく|かんけいの|かいはつは|なつ|まえに|やめる|つもりで|いるのですが| |自分の|元々の|予定として|,|日本語入力|関係の|開発は|夏|前に|止める|つもりで|いるのですが|
|じゃあ|ふたりを|おへやに|あんないします| |じゃあ|二人を|お部屋に|案内します|
|じゅうぶん|ねたのに|ねむい| |十分|寝たのに|眠い|
|じゅうよう| |重要|
|じゅうようなのは|ねっしんさ| |重要なのは|熱心さ|
|じゅんすいに|ましん|ぱわーの|もんだいなら|むりしない|ほうが|よい| |純粋に|マシン|パワーの|問題なら|無理しない|方が|よい|
|じょうけんが|くう|もじ|れつの|ものが|あるので| |条件が|空|文字|列の|物が|あるので|
|じょうけんつきというのは|ちょさくけん|ほご|かんけいの|はなし| |条件付きというのは|著作権|保護|関係の|話|
|じょうげせん|ともに|ふつうとなりました| |上下線|ともに|不通となりました|
|じょうだんを|いう|ときくらい|わらえ| |冗談を|言う|時くらい|笑え|
|じょうとの|てつづきを|せずに|そつぎょうして|ほうちしたから|ややこしくなった| |譲渡の|手続きを|せずに|卒業して|放置したから|ややこしくなった|
|じょうほう|しょり|しんこう|じぎょう|きょうかい| |情報|処理|振興|事業|協会|
|じょうほう|しょり|すいしん|きこう| |情報|処理|推進|機構|
|じょうりくして|１にちも|たてば|たいふうの|ぜんめんにしか|くもは|ない| |上陸して|1日も|経てば|台風の|前面にしか|雲は|無い|
|じょじゅつ|とりっくに|たよりすぎな|きがする| |叙述|トリックに|頼りすぎな|気がする|
|じりつごの|ぜんぶん|けんさく|よう|じょうほう| |自立語の|全文|検索|用|情報|
|じんこうの|ぞうだいに|ともなって| |人口の|増大に|伴って|
|すいす|じん| |スイス|人|
|すいどうの|りょうきんの|てつづきを|まだ|してない| |水道の|料金の|手続きを|まだ|してない|
|すいみんが|たりない|きがする| |睡眠が|たりない|気がする|
|すうひゃくまん|こうもくの|じしょ| |数百万|項目の|辞書|
|すがたが|ふと|めに|はいったので| |姿が|ふと|目に|入ったので|
|すきな|えしの|もしゃを|してみた| |好きな|絵師の|模写を|してみた|
|すくなくとも|げんがっき| |少なくとも|弦楽器|
|すくなくとも|わたしの|そふとには|たいおうしてください| |少なくとも|私の|ソフトには|対応してください|
|すくりーんせーばーは|はずそう| |スクリーンセーバーは|外そう|
|すぐ|いこう| |すぐ|行こう|
|すげー|たのしかった| |すげー|楽しかった|
|すげー|むかしじゃんか| |すげー|昔じゃんか|
|すこあは|かくりつを|きほんとして|いますが| |スコアは|確率を|基本として|いますが|
|すこし|はんせいしないと|いけない| |少し|反省しないと|いけない|
|すこし|ぺーすを|あげて| |少し|ペースを|上げて|
|すごい|かわりようだ| |すごい|変わりようだ|
|すじが|わるそうですね| |筋が|悪そうですね|
|すてるのも| |捨てるのも|
|すでに|おうぼが|きていますので|ひょうかしてください| |すでに|応募が|来ていますので|評価してください|
|すとーりーは|いみふめいだけど|おんがくが|けっこう|いい| |ストーリーは|意味不明だけど|音楽が|結構|いい|
|すとれすで|いに|あなが|あく| |ストレスで|胃に|穴が|あく|
|すばらしいことに| |素晴らしいことに|
|すばらしく|すばらしい|てんかいになってきました| |素晴らしく|素晴らしい|展開になってきました|
|すぱむの|かずなんか|しりたくない| |スパムの|数なんか|知りたくない|
|すべて|おりたたんで|ひょうじする| |すべて|折り畳んで|表示する|
|すぺる|まちがいの|かのうせいが|あります| |スペル|間違いの|可能性が|あります|
|すれが|のびる| |スレが|伸びる|
|ずぼんを|はく| |ズボンを|はく|
|せいかいになる|かくりつ| |正解になる|確率|
|せいかつ|ごみの|しゅうしが|つりあわない| |生活|ゴミの|収支が|釣り合わない|
|せいきひょうげんによる|きょうりょくな|ちかん|きのう| |正規表現による|強力な|置換|機能|
|せいぎょ| |制御|
